Package Name,Destination,Duration,Price,Package Description
Luxury Hawaii Package 35,Hawaii,8,412769,"Experience a luxury 8-day trip to Hawaii. This package includes volcano tours, helicopter tours and snorkeling."
Family-friendly Bali Package 36,Bali,8,377836,"Experience a family-friendly 8-day trip to Bali. This package includes yoga retreats, temple visits and rice terrace treks."
Relaxing Goa Package 37,Goa,5,145555,"Experience a relaxing 5-day trip to Goa. This package includes sunset cruises, beach parties and seafood tasting."
Scenic Kenya Package 38,Kenya,8,151555,"Experience a scenic 8-day trip to Kenya. This package includes wildlife safari, tribal village visits and beach relaxation."
Heritage Italy Package 39,Italy,6,153220,"Experience a heritage 6-day trip to Italy. This package includes fashion district shopping, wine vineyard visits and gelato tasting."
Relaxing France Package 40,France,11,448019,"Experience a relaxing 11-day trip to France. This package includes cheese tasting, lavender field tours and eiffel tower visits."
Scenic Iceland Package 41,Iceland,3,208885,"Experience a scenic 3-day trip to Iceland. This package includes ice cave exploring, volcano tours and glacier hiking."
Romantic Ladakh Package 42,Ladakh,8,114787,"Experience a romantic 8-day trip to Ladakh. This package includes yak safaris, pangong lake tours and mountain biking."
Romantic Japan Package 43,Japan,4,404152,"Experience a romantic 4-day trip to Japan. This package includes cherry blossom viewing, temple tours and anime district tours."
Scenic Manali Package 44,Manali,8,64945,"Experience a scenic 8-day trip to Manali. This package includes river rafting, temple visits and skiing."
Modern Iceland Package 45,Iceland,9,242777,"Experience a modern 9-day trip to Iceland. This package includes northern lights viewing, volcano tours and whale watching."
Adventurous Japan Package 46,Japan,11,63281,"Experience a adventurous 11-day trip to Japan. This package includes temple tours, sushi tasting and anime district tours."
Scenic Italy Package 47,Italy,8,103614,"Experience a scenic 8-day trip to Italy. This package includes gelato tasting, wine vineyard visits and pasta making classes."
Family-friendly Jaipur Package 48,Jaipur,6,87555,"Experience a family-friendly 6-day trip to Jaipur. This package includes camel rides, cultural shows and fort tours."
Relaxing France Package 49,France,9,487095,"Experience a relaxing 9-day trip to France. This package includes museum tours, wine tasting and river cruises."
Cultural Switzerland Package 50,Switzerland,3,54692,"Experience a cultural 3-day trip to Switzerland. This package includes scenic train rides, mountain hiking and chocolate factory tours."
Family-friendly Kerala Package 51,Kerala,3,22974,"Experience a family-friendly 3-day trip to Kerala. This package includes tea plantation tours, backwater kayaking and spice garden walks."
Modern Ladakh Package 52,Ladakh,6,170116,"Experience a modern 6-day trip to Ladakh. This package includes yak safaris, camping under stars and high altitude trekking."
Cultural Varanasi Package 53,Varanasi,9,29522,"Experience a cultural 9-day trip to Varanasi. This package includes street food walks, ganga aarti and yoga sessions."
Premium Shimla Package 54,Shimla,7,29805,"Experience a premium 7-day trip to Shimla. This package includes colonial architecture tours, ice skating and nature walks."
Relaxing Manali Package 55,Manali,10,104924,"Experience a relaxing 10-day trip to Manali. This package includes river rafting, hot springs and paragliding."
Backpacker Kenya Package 56,Kenya,12,112942,"Experience a backpacker 12-day trip to Kenya. This package includes beach relaxation, tribal village visits and mountain climbing."
Backpacker Shimla Package 57,Shimla,10,62514,"Experience a backpacker 10-day trip to Shimla. This package includes mall road shopping, colonial architecture tours and toy train rides."
Budget Goa Package 58,Goa,4,115049,"Experience a budget 4-day trip to Goa. This package includes water sports, beach parties and flea markets."
Family-friendly Kerala Package 59,Kerala,12,18751,"Experience a family-friendly 12-day trip to Kerala. This package includes houseboat cruises, spice garden walks and kathakali shows."
Premium Jaipur Package 60,Jaipur,7,67406,"Experience a premium 7-day trip to Jaipur. This package includes camel rides, bazaar shopping and fort tours."
Backpacker Goa Package 61,Goa,7,69923,"Experience a backpacker 7-day trip to Goa. This package includes beach parties, seafood tasting and sunset cruises."
Relaxing Jaipur Package 62,Jaipur,6,124558,"Experience a relaxing 6-day trip to Jaipur. This package includes bazaar shopping, camel rides and block printing workshops."
Budget Andaman Package 63,Andaman,7,23493,"Experience a budget 7-day trip to Andaman. This package includes glass bottom boat rides, scuba diving and beach camping."
Heritage Thailand Package 64,Thailand,12,98039,"Experience a heritage 12-day trip to Thailand. This package includes elephant sanctuaries, muay thai shows and temple visits."
Romantic Iceland Package 65,Iceland,10,293272,"Experience a romantic 10-day trip to Iceland. This package includes volcano tours, ice cave exploring and hot spring bathing."
Cultural Goa Package 66,Goa,3,17593,"Experience a cultural 3-day trip to Goa. This package includes water sports, beach parties and flea markets."
Budget Iceland Package 67,Iceland,11,123657,"Experience a budget 11-day trip to Iceland. This package includes hot spring bathing, northern lights viewing and volcano tours."
Modern Italy Package 68,Italy,9,421208,"Experience a modern 9-day trip to Italy. This package includes wine vineyard visits, gondola rides and fashion district shopping."
Relaxing Rishikesh Package 69,Rishikesh,5,100617,"Experience a relaxing 5-day trip to Rishikesh. This package includes meditation sessions, yoga retreats and cliff jumping."
Family-friendly Switzerland Package 70,Switzerland,14,294539,"Experience a family-friendly 14-day trip to Switzerland. This package includes scenic train rides, lake cruises and paragliding."
Budget Bhutan Package 71,Bhutan,9,68466,"Experience a budget 9-day trip to Bhutan. This package includes festival dances, himalayan viewing and monastery treks."
Scenic Udaipur Package 72,Udaipur,12,172655,"Experience a scenic 12-day trip to Udaipur. This package includes vintage car rides, lake palace tours and boat rides."
Relaxing Italy Package 73,Italy,9,241966,"Experience a relaxing 9-day trip to Italy. This package includes gelato tasting, colosseum tours and pasta making classes."
Modern France Package 74,France,10,488024,"Experience a modern 10-day trip to France. This package includes eiffel tower visits, wine tasting and museum tours."
Luxury Brazil Package 75,Brazil,3,79125,"Experience a luxury 3-day trip to Brazil. This package includes carnival celebrations, copacabana beach and football matches."
Modern Udaipur Package 76,Udaipur,12,16777,"Experience a modern 12-day trip to Udaipur. This package includes lake palace tours, vintage car rides and rooftop dining."
Relaxing Italy Package 77,Italy,4,433944,"Experience a relaxing 4-day trip to Italy. This package includes colosseum tours, pasta making classes and wine vineyard visits."
Premium Manali Package 78,Manali,5,161745,"Experience a premium 5-day trip to Manali. This package includes temple visits, skiing and paragliding."
Heritage Jaipur Package 79,Jaipur,14,110739,"Experience a heritage 14-day trip to Jaipur. This package includes camel rides, bazaar shopping and block printing workshops."
Relaxing Japan Package 80,Japan,7,58222,"Experience a relaxing 7-day trip to Japan. This package includes sushi tasting, cherry blossom viewing and anime district tours."
Premium Jaipur Package 81,Jaipur,11,37496,"Experience a premium 11-day trip to Jaipur. This package includes palace visits, bazaar shopping and block printing workshops."
Family-friendly Varanasi Package 82,Varanasi,3,101706,"Experience a family-friendly 3-day trip to Varanasi. This package includes temple tours, boat rides and silk weaving tours."
Backpacker Turkey Package 83,Turkey,11,258742,"Experience a backpacker 11-day trip to Turkey. This package includes mosque tours, blue voyage cruises and hot air balloon rides."
Premium Rishikesh Package 84,Rishikesh,14,47228,"Experience a premium 14-day trip to Rishikesh. This package includes bungee jumping, meditation sessions and river rafting."
Modern Brazil Package 85,Brazil,12,438788,"Experience a modern 12-day trip to Brazil. This package includes football matches, rainforest treks and christ the redeemer visits."
Adventurous Australia Package 86,Australia,9,111162,"Experience a adventurous 9-day trip to Australia. This package includes outback adventures, great barrier reef diving and kangaroo spotting."
Backpacker Brazil Package 87,Brazil,8,203366,"Experience a backpacker 8-day trip to Brazil. This package includes carnival celebrations, football matches and samba dancing."
Heritage Kenya Package 88,Kenya,13,375456,"Experience a heritage 13-day trip to Kenya. This package includes hot air balloon rides, mountain climbing and tribal village visits."
Cultural Jaipur Package 89,Jaipur,4,162044,"Experience a cultural 4-day trip to Jaipur. This package includes palace visits, cultural shows and camel rides."
Adventurous Rishikesh Package 90,Rishikesh,14,62114,"Experience a adventurous 14-day trip to Rishikesh. This package includes cliff jumping, bungee jumping and meditation sessions."
Heritage Goa Package 91,Goa,10,197326,"Experience a heritage 10-day trip to Goa. This package includes church visits, sunset cruises and water sports."
Premium Turkey Package 92,Turkey,9,190698,"Experience a premium 9-day trip to Turkey. This package includes blue voyage cruises, mosque tours and carpet weaving workshops."
Scenic Bali Package 93,Bali,3,126870,"Experience a scenic 3-day trip to Bali. This package includes monkey forest tours, rice terrace treks and temple visits."
Backpacker Udaipur Package 94,Udaipur,7,91459,"Experience a backpacker 7-day trip to Udaipur. This package includes puppet shows, rooftop dining and heritage walks."
Family-friendly Brazil Package 95,Brazil,9,351606,"Experience a family-friendly 9-day trip to Brazil. This package includes rainforest treks, christ the redeemer visits and football matches."
Budget Iceland Package 96,Iceland,9,64092,"Experience a budget 9-day trip to Iceland. This package includes hot spring bathing, volcano tours and northern lights viewing."
Budget Thailand Package 97,Thailand,9,271897,"Experience a budget 9-day trip to Thailand. This package includes elephant sanctuaries, muay thai shows and street food tours."
Premium Italy Package 98,Italy,6,181388,"Experience a premium 6-day trip to Italy. This package includes gelato tasting, pasta making classes and gondola rides."
Heritage Turkey Package 99,Turkey,5,347230,"Experience a heritage 5-day trip to Turkey. This package includes bazaar shopping, mosque tours and hot air balloon rides."
Premium Brazil Package 100,Brazil,10,303692,"Experience a premium 10-day trip to Brazil. This package includes christ the redeemer visits, football matches and rainforest treks."
Romantic Turkey Package 101,Turkey,7,194004,"Experience a romantic 7-day trip to Turkey. This package includes bazaar shopping, carpet weaving workshops and blue voyage cruises."
Family-friendly Brazil Package 102,Brazil,5,486904,"Experience a family-friendly 5-day trip to Brazil. This package includes rainforest treks, samba dancing and copacabana beach."
Luxury Shimla Package 103,Shimla,12,128225,"Experience a luxury 12-day trip to Shimla. This package includes ice skating, apple orchard visits and mall road shopping."
Scenic Bhutan Package 104,Bhutan,6,178010,"Experience a scenic 6-day trip to Bhutan. This package includes archery matches, himalayan viewing and monastery treks."
Premium Bali Package 105,Bali,6,69496,"Experience a premium 6-day trip to Bali. This package includes scuba diving, rice terrace treks and surfing lessons."
Family-friendly Bali Package 106,Bali,14,416883,"Experience a family-friendly 14-day trip to Bali. This package includes temple visits, rice terrace treks and surfing lessons."
Premium Bali Package 107,Bali,9,493543,"Experience a premium 9-day trip to Bali. This package includes surfing lessons, temple visits and rice terrace treks."
Family-friendly Iceland Package 108,Iceland,5,449457,"Experience a family-friendly 5-day trip to Iceland. This package includes ice cave exploring, hot spring bathing and northern lights viewing."
Romantic Thailand Package 109,Thailand,7,346821,"Experience a romantic 7-day trip to Thailand. This package includes street food tours, floating markets and temple visits."
Adventurous Turkey Package 110,Turkey,3,209117,"Experience a adventurous 3-day trip to Turkey. This package includes blue voyage cruises, hot air balloon rides and carpet weaving workshops."
Luxury Turkey Package 111,Turkey,5,275632,"Experience a luxury 5-day trip to Turkey. This package includes mosque tours, blue voyage cruises and turkish bath."
Backpacker Hawaii Package 112,Hawaii,5,420293,"Experience a backpacker 5-day trip to Hawaii. This package includes whale watching, snorkeling and helicopter tours."
Heritage Bhutan Package 113,Bhutan,6,388654,"Experience a heritage 6-day trip to Bhutan. This package includes himalayan viewing, dzong visits and monastery treks."
Heritage Kenya Package 114,Kenya,3,101158,"Experience a heritage 3-day trip to Kenya. This package includes wildlife safari, bird watching and beach relaxation."
Backpacker Varanasi Package 115,Varanasi,13,49402,"Experience a backpacker 13-day trip to Varanasi. This package includes ganga aarti, street food walks and silk weaving tours."
Luxury Brazil Package 116,Brazil,8,431492,"Experience a luxury 8-day trip to Brazil. This package includes christ the redeemer visits, copacabana beach and samba dancing."
Modern Kerala Package 117,Kerala,3,166351,"Experience a modern 3-day trip to Kerala. This package includes tea plantation tours, backwater kayaking and spice garden walks."
Budget Bali Package 118,Bali,12,272677,"Experience a budget 12-day trip to Bali. This package includes scuba diving, temple visits and yoga retreats."
Backpacker Goa Package 119,Goa,6,126808,"Experience a backpacker 6-day trip to Goa. This package includes seafood tasting, church visits and beach parties."
Heritage Varanasi Package 120,Varanasi,5,47340,"Experience a heritage 5-day trip to Varanasi. This package includes ganga aarti, silk weaving tours and street food walks."
Cultural Bali Package 121,Bali,13,175264,"Experience a cultural 13-day trip to Bali. This package includes surfing lessons, temple visits and yoga retreats."
Cultural Udaipur Package 122,Udaipur,7,74160,"Experience a cultural 7-day trip to Udaipur. This package includes lake palace tours, vintage car rides and boat rides."
Relaxing Kerala Package 123,Kerala,6,125286,"Experience a relaxing 6-day trip to Kerala. This package includes ayurveda spa, houseboat cruises and kathakali shows."
Budget Japan Package 124,Japan,5,437036,"Experience a budget 5-day trip to Japan. This package includes tea ceremonies, anime district tours and bullet train rides."
Family-friendly Japan Package 125,Japan,11,304743,"Experience a family-friendly 11-day trip to Japan. This package includes temple tours, tea ceremonies and bullet train rides."
Romantic Italy Package 126,Italy,11,56981,"Experience a romantic 11-day trip to Italy. This package includes wine vineyard visits, gondola rides and fashion district shopping."
Luxury Thailand Package 127,Thailand,11,156001,"Experience a luxury 11-day trip to Thailand. This package includes elephant sanctuaries, street food tours and temple visits."
Premium Jaipur Package 128,Jaipur,10,182314,"Experience a premium 10-day trip to Jaipur. This package includes bazaar shopping, cultural shows and fort tours."
Adventurous Hawaii Package 129,Hawaii,8,428955,"Experience a adventurous 8-day trip to Hawaii. This package includes beach surfing, whale watching and snorkeling."
Family-friendly Shimla Package 130,Shimla,12,106233,"Experience a family-friendly 12-day trip to Shimla. This package includes colonial architecture tours, apple orchard visits and mall road shopping."
Heritage Brazil Package 131,Brazil,12,192646,"Experience a heritage 12-day trip to Brazil. This package includes football matches, copacabana beach and christ the redeemer visits."
Budget Switzerland Package 132,Switzerland,12,50765,"Experience a budget 12-day trip to Switzerland. This package includes mountain hiking, skiing and scenic train rides."
Romantic Udaipur Package 133,Udaipur,10,48532,"Experience a romantic 10-day trip to Udaipur. This package includes puppet shows, heritage walks and boat rides."
Luxury Bali Package 134,Bali,14,159522,"Experience a luxury 14-day trip to Bali. This package includes scuba diving, temple visits and yoga retreats."
Family-friendly Thailand Package 135,Thailand,9,288707,"Experience a family-friendly 9-day trip to Thailand. This package includes muay thai shows, island hopping and floating markets."
Scenic Hawaii Package 136,Hawaii,12,224860,"Experience a scenic 12-day trip to Hawaii. This package includes helicopter tours, volcano tours and luau feasts."
Adventurous Rishikesh Package 137,Rishikesh,12,40649,"Experience a adventurous 12-day trip to Rishikesh. This package includes river rafting, bungee jumping and camping by ganges."
Cultural Japan Package 138,Japan,14,264223,"Experience a cultural 14-day trip to Japan. This package includes anime district tours, sushi tasting and cherry blossom viewing."
Romantic Brazil Package 139,Brazil,4,316422,"Experience a romantic 4-day trip to Brazil. This package includes football matches, rainforest treks and carnival celebrations."
Relaxing Kenya Package 140,Kenya,13,434274,"Experience a relaxing 13-day trip to Kenya. This package includes wildlife safari, bird watching and hot air balloon rides."
Relaxing Udaipur Package 141,Udaipur,6,163052,"Experience a relaxing 6-day trip to Udaipur. This package includes lake palace tours, heritage walks and vintage car rides."
Modern Shimla Package 142,Shimla,14,122564,"Experience a modern 14-day trip to Shimla. This package includes toy train rides, colonial architecture tours and apple orchard visits."
Modern Brazil Package 143,Brazil,11,440804,"Experience a modern 11-day trip to Brazil. This package includes rainforest treks, football matches and copacabana beach."
Romantic Jaipur Package 144,Jaipur,3,131797,"Experience a romantic 3-day trip to Jaipur. This package includes block printing workshops, bazaar shopping and palace visits."
Budget Bali Package 145,Bali,13,293255,"Experience a budget 13-day trip to Bali. This package includes temple visits, monkey forest tours and rice terrace treks."
Adventurous Kenya Package 146,Kenya,7,494817,"Experience a adventurous 7-day trip to Kenya. This package includes tribal village visits, hot air balloon rides and wildlife safari."
Backpacker Turkey Package 147,Turkey,13,458208,"Experience a backpacker 13-day trip to Turkey. This package includes bazaar shopping, hot air balloon rides and turkish bath."
Adventurous Switzerland Package 148,Switzerland,4,345150,"Experience a adventurous 4-day trip to Switzerland. This package includes scenic train rides, skiing and paragliding."
Premium Italy Package 149,Italy,10,61688,"Experience a premium 10-day trip to Italy. This package includes gelato tasting, gondola rides and fashion district shopping."
Adventurous Bali Package 150,Bali,14,272023,"Experience a adventurous 14-day trip to Bali. This package includes yoga retreats, rice terrace treks and temple visits."
Backpacker Turkey Package 151,Turkey,14,253281,"Experience a backpacker 14-day trip to Turkey. This package includes turkish bath, mosque tours and hot air balloon rides."
Heritage Goa Package 152,Goa,8,199454,"Experience a heritage 8-day trip to Goa. This package includes beach parties, water sports and seafood tasting."
Backpacker Switzerland Package 153,Switzerland,14,75270,"Experience a backpacker 14-day trip to Switzerland. This package includes paragliding, chocolate factory tours and skiing."
Scenic Manali Package 154,Manali,5,174084,"Experience a scenic 5-day trip to Manali. This package includes hot springs, temple visits and paragliding."
Family-friendly Japan Package 155,Japan,4,476688,"Experience a family-friendly 4-day trip to Japan. This package includes tea ceremonies, anime district tours and sushi tasting."
Budget Brazil Package 156,Brazil,14,175216,"Experience a budget 14-day trip to Brazil. This package includes football matches, samba dancing and rainforest treks."
Budget Goa Package 157,Goa,12,39909,"Experience a budget 12-day trip to Goa. This package includes sunset cruises, flea markets and water sports."
Heritage Brazil Package 158,Brazil,14,307446,"Experience a heritage 14-day trip to Brazil. This package includes samba dancing, carnival celebrations and football matches."
Budget Bhutan Package 159,Bhutan,12,358485,"Experience a budget 12-day trip to Bhutan. This package includes dzong visits, mountain pass tours and archery matches."
Premium Hawaii Package 160,Hawaii,6,358383,"Experience a premium 6-day trip to Hawaii. This package includes volcano tours, beach surfing and snorkeling."
Backpacker Turkey Package 161,Turkey,13,282686,"Experience a backpacker 13-day trip to Turkey. This package includes mosque tours, hot air balloon rides and bazaar shopping."
Cultural Udaipur Package 162,Udaipur,3,59185,"Experience a cultural 3-day trip to Udaipur. This package includes vintage car rides, boat rides and puppet shows."
Heritage Turkey Package 163,Turkey,13,108587,"Experience a heritage 13-day trip to Turkey. This package includes turkish bath, blue voyage cruises and hot air balloon rides."
Cultural Japan Package 164,Japan,6,412323,"Experience a cultural 6-day trip to Japan. This package includes temple tours, tea ceremonies and bullet train rides."
Budget Bali Package 165,Bali,9,208753,"Experience a budget 9-day trip to Bali. This package includes rice terrace treks, monkey forest tours and yoga retreats."
Backpacker Manali Package 166,Manali,4,91624,"Experience a backpacker 4-day trip to Manali. This package includes temple visits, hot springs and mountain trekking."
Premium Andaman Package 167,Andaman,8,101587,"Experience a premium 8-day trip to Andaman. This package includes glass bottom boat rides, snorkeling and beach camping."
Relaxing France Package 168,France,4,50511,"Experience a relaxing 4-day trip to France. This package includes lavender field tours, eiffel tower visits and river cruises."
Heritage Thailand Package 169,Thailand,5,191520,"Experience a heritage 5-day trip to Thailand. This package includes street food tours, island hopping and elephant sanctuaries."
Premium Iceland Package 170,Iceland,10,489937,"Experience a premium 10-day trip to Iceland. This package includes volcano tours, glacier hiking and ice cave exploring."
Adventurous Ladakh Package 171,Ladakh,11,90647,"Experience a adventurous 11-day trip to Ladakh. This package includes monastery visits, camping under stars and mountain biking."
Scenic Iceland Package 172,Iceland,14,315470,"Experience a scenic 14-day trip to Iceland. This package includes hot spring bathing, glacier hiking and volcano tours."
Scenic Bali Package 173,Bali,12,132194,"Experience a scenic 12-day trip to Bali. This package includes temple visits, scuba diving and yoga retreats."
Modern Manali Package 174,Manali,12,21166,"Experience a modern 12-day trip to Manali. This package includes river rafting, paragliding and mountain trekking."
Premium Goa Package 175,Goa,12,34256,"Experience a premium 12-day trip to Goa. This package includes church visits, water sports and sunset cruises."
Romantic Udaipur Package 176,Udaipur,13,60044,"Experience a romantic 13-day trip to Udaipur. This package includes lake palace tours, vintage car rides and puppet shows."
Budget Bhutan Package 177,Bhutan,3,314602,"Experience a budget 3-day trip to Bhutan. This package includes mountain pass tours, monastery treks and archery matches."
Luxury Italy Package 178,Italy,6,338674,"Experience a luxury 6-day trip to Italy. This package includes colosseum tours, gondola rides and pasta making classes."
Cultural Turkey Package 179,Turkey,10,498192,"Experience a cultural 10-day trip to Turkey. This package includes hot air balloon rides, blue voyage cruises and bazaar shopping."
Romantic Japan Package 180,Japan,10,66305,"Experience a romantic 10-day trip to Japan. This package includes cherry blossom viewing, temple tours and bullet train rides."
Backpacker Rishikesh Package 181,Rishikesh,11,72224,"Experience a backpacker 11-day trip to Rishikesh. This package includes river rafting, yoga retreats and cliff jumping."
Budget Andaman Package 182,Andaman,3,83171,"Experience a budget 3-day trip to Andaman. This package includes glass bottom boat rides, scuba diving and island hopping."
Modern Andaman Package 183,Andaman,13,182394,"Experience a modern 13-day trip to Andaman. This package includes scuba diving, island hopping and beach camping."
Scenic France Package 184,France,13,291043,"Experience a scenic 13-day trip to France. This package includes lavender field tours, cheese tasting and eiffel tower visits."
Romantic Switzerland Package 185,Switzerland,9,394626,"Experience a romantic 9-day trip to Switzerland. This package includes skiing, mountain hiking and scenic train rides."
Budget Varanasi Package 186,Varanasi,3,151248,"Experience a budget 3-day trip to Varanasi. This package includes silk weaving tours, boat rides and yoga sessions."
Scenic Turkey Package 187,Turkey,11,383900,"Experience a scenic 11-day trip to Turkey. This package includes hot air balloon rides, mosque tours and turkish bath."
Romantic Andaman Package 188,Andaman,4,93727,"Experience a romantic 4-day trip to Andaman. This package includes snorkeling, island hopping and mangrove kayaking."
Luxury Rishikesh Package 189,Rishikesh,11,82677,"Experience a luxury 11-day trip to Rishikesh. This package includes camping by ganges, bungee jumping and meditation sessions."
Heritage Switzerland Package 190,Switzerland,3,200196,"Experience a heritage 3-day trip to Switzerland. This package includes scenic train rides, mountain hiking and lake cruises."
Premium Australia Package 191,Australia,7,298358,"Experience a premium 7-day trip to Australia. This package includes surfing lessons, kangaroo spotting and great barrier reef diving."
Modern Hawaii Package 192,Hawaii,14,76121,"Experience a modern 14-day trip to Hawaii. This package includes beach surfing, helicopter tours and volcano tours."
Heritage Jaipur Package 193,Jaipur,8,145077,"Experience a heritage 8-day trip to Jaipur. This package includes cultural shows, bazaar shopping and camel rides."
Cultural Andaman Package 194,Andaman,5,75626,"Experience a cultural 5-day trip to Andaman. This package includes glass bottom boat rides, beach camping and island hopping."
Budget Bali Package 195,Bali,13,82636,"Experience a budget 13-day trip to Bali. This package includes scuba diving, rice terrace treks and temple visits."
Backpacker Japan Package 196,Japan,12,122473,"Experience a backpacker 12-day trip to Japan. This package includes temple tours, anime district tours and cherry blossom viewing."
Relaxing Andaman Package 197,Andaman,3,147616,"Experience a relaxing 3-day trip to Andaman. This package includes snorkeling, scuba diving and island hopping."
Scenic Manali Package 198,Manali,12,70663,"Experience a scenic 12-day trip to Manali. This package includes skiing, paragliding and mountain trekking."
Scenic Kenya Package 199,Kenya,11,399408,"Experience a scenic 11-day trip to Kenya. This package includes tribal village visits, wildlife safari and mountain climbing."
Adventurous Varanasi Package 200,Varanasi,6,187377,"Experience a adventurous 6-day trip to Varanasi. This package includes boat rides, street food walks and temple tours."
Family-friendly Thailand Package 201,Thailand,13,494418,"Experience a family-friendly 13-day trip to Thailand. This package includes muay thai shows, elephant sanctuaries and temple visits."
Cultural Ladakh Package 202,Ladakh,5,16701,"Experience a cultural 5-day trip to Ladakh. This package includes high altitude trekking, yak safaris and mountain biking."
Adventurous Iceland Package 203,Iceland,14,428834,"Experience a adventurous 14-day trip to Iceland. This package includes whale watching, glacier hiking and volcano tours."
Cultural Ladakh Package 204,Ladakh,6,47597,"Experience a cultural 6-day trip to Ladakh. This package includes high altitude trekking, pangong lake tours and camping under stars."
